pk,category,sku,name,friendly_name,description,image,alt_text,bs_icon,weight,strength,brew_time,water_temp,price,stock_level,rating
601,25,givo988072,gift_voucher_10,£10 Gift Voucher,"<p>Give the gift of serenity with a <strong>SereniTea Emporium Gift Certificate</strong>, the perfect present for tea lovers and those seeking a moment of calm in their busy lives. With a SereniTea Gift Certificate, you can treat someone special to a personalized tea-shopping experience, allowing them to explore our extensive range of premium loose leaf teas, tea accessories, and unique tea gift sets.</p>

<p>This versatile gift certificate is ideal for any occasion, whether it's a birthday, anniversary, holiday, or simply a thoughtful gesture to show appreciation. It can be used to purchase anything from our online store, including our carefully curated selection of organic teas, stylish teaware, and beautifully packaged gift boxes.</p>

<p>The <strong>SereniTea Emporium Gift Certificate</strong> is available in various denominations, giving your recipient the flexibility to choose their favorite teas and accessories. It's a convenient and thoughtful way to share the joy of tea without the guesswork of picking the perfect blend.</p>

<p>Upon purchase, you'll receive a digital gift certificate via email, complete with a unique code for redemption at our online store. You can forward the email to your recipient or print it for a personal touch. If you're sending it as a gift, you can add a custom message to make the gift certificate even more special.</p>

<p>Whether they're new to the world of tea or a seasoned tea connoisseur, a SereniTea Emporium Gift Certificate opens the door to a world of soothing flavors, elegant teaware, and relaxing tea rituals. It's a gift that not only provides a delightful tea experience but also invites your recipient to take a moment to relax and enjoy life's simple pleasures.</p>",serenitea_10_gift_certificate.jpg,Female hands holding a cream gift card decorated with a teacup and a £10 label.,bi bi-gift,,,,,10.00,,
602,25,givo376163,gift_voucher_20,£20 Gift Voucher,"<p>Give the gift of serenity with a <strong>SereniTea Emporium Gift Certificate</strong>, the perfect present for tea lovers and those seeking a moment of calm in their busy lives. With a SereniTea Gift Certificate, you can treat someone special to a personalized tea-shopping experience, allowing them to explore our extensive range of premium loose leaf teas, tea accessories, and unique tea gift sets.</p>

<p>This versatile gift certificate is ideal for any occasion, whether it's a birthday, anniversary, holiday, or simply a thoughtful gesture to show appreciation. It can be used to purchase anything from our online store, including our carefully curated selection of organic teas, stylish teaware, and beautifully packaged gift boxes.</p>

<p>The <strong>SereniTea Emporium Gift Certificate</strong> is available in various denominations, giving your recipient the flexibility to choose their favorite teas and accessories. It's a convenient and thoughtful way to share the joy of tea without the guesswork of picking the perfect blend.</p>

<p>Upon purchase, you'll receive a digital gift certificate via email, complete with a unique code for redemption at our online store. You can forward the email to your recipient or print it for a personal touch. If you're sending it as a gift, you can add a custom message to make the gift certificate even more special.</p>

<p>Whether they're new to the world of tea or a seasoned tea connoisseur, a SereniTea Emporium Gift Certificate opens the door to a world of soothing flavors, elegant teaware, and relaxing tea rituals. It's a gift that not only provides a delightful tea experience but also invites your recipient to take a moment to relax and enjoy life's simple pleasures.</p>",serenitea_present_certificate.jpg,Female hands holding a cream gift card decorated with a teacup and graphic of a wrapped parcel.,bi bi-gift,,,,,20.00,,4.8
603,25,givo829850,gift_voucher_50,£50 Gift Voucher,"<p>Give the gift of serenity with a <strong>SereniTea Emporium Gift Certificate</strong>, the perfect present for tea lovers and those seeking a moment of calm in their busy lives. With a SereniTea Gift Certificate, you can treat someone special to a personalized tea-shopping experience, allowing them to explore our extensive range of premium loose leaf teas, tea accessories, and unique tea gift sets.</p>

<p>This versatile gift certificate is ideal for any occasion, whether it's a birthday, anniversary, holiday, or simply a thoughtful gesture to show appreciation. It can be used to purchase anything from our online store, including our carefully curated selection of organic teas, stylish teaware, and beautifully packaged gift boxes.</p>

<p>The <strong>SereniTea Emporium Gift Certificate</strong> is available in various denominations, giving your recipient the flexibility to choose their favorite teas and accessories. It's a convenient and thoughtful way to share the joy of tea without the guesswork of picking the perfect blend.</p>

<p>Upon purchase, you'll receive a digital gift certificate via email, complete with a unique code for redemption at our online store. You can forward the email to your recipient or print it for a personal touch. If you're sending it as a gift, you can add a custom message to make the gift certificate even more special.</p>

<p>Whether they're new to the world of tea or a seasoned tea connoisseur, a SereniTea Emporium Gift Certificate opens the door to a world of soothing flavors, elegant teaware, and relaxing tea rituals. It's a gift that not only provides a delightful tea experience but also invites your recipient to take a moment to relax and enjoy life's simple pleasures.</p>",serenitea_gift_certificate.jpg,Female hands holding a cream gift card decorated with a teacup and Gift text label.,bi bi-gift,,,,,50.00,,
604,25,givo348702,gift_voucher_100,£100 Gift Voucher,"<p>Give the gift of serenity with a <strong>SereniTea Emporium Gift Certificate</strong>, the perfect present for tea lovers and those seeking a moment of calm in their busy lives. With a SereniTea Gift Certificate, you can treat someone special to a personalized tea-shopping experience, allowing them to explore our extensive range of premium loose leaf teas, tea accessories, and unique tea gift sets.</p>

<p>This versatile gift certificate is ideal for any occasion, whether it's a birthday, anniversary, holiday, or simply a thoughtful gesture to show appreciation. It can be used to purchase anything from our online store, including our carefully curated selection of organic teas, stylish teaware, and beautifully packaged gift boxes.</p>

<p>The <strong>SereniTea Emporium Gift Certificate</strong> is available in various denominations, giving your recipient the flexibility to choose their favorite teas and accessories. It's a convenient and thoughtful way to share the joy of tea without the guesswork of picking the perfect blend.</p>

<p>Upon purchase, you'll receive a digital gift certificate via email, complete with a unique code for redemption at our online store. You can forward the email to your recipient or print it for a personal touch. If you're sending it as a gift, you can add a custom message to make the gift certificate even more special.</p>

<p>Whether they're new to the world of tea or a seasoned tea connoisseur, a SereniTea Emporium Gift Certificate opens the door to a world of soothing flavors, elegant teaware, and relaxing tea rituals. It's a gift that not only provides a delightful tea experience but also invites your recipient to take a moment to relax and enjoy life's simple pleasures.</p>",serenitea_100_gift_certificate.jpg,"Cream card with green leaf design and the SereniTea name, displayed on a wooden table surrounded by fresh green leaves.",bi bi-gift,,,,,100.00,,
5,24,lete545948,leaf_tea_selection_box,Leaf Tea Selection Box,"<p>Experience the rich diversity of premium organic teas with our <strong>Leaf Tea Selection Box</strong>, a carefully curated collection of nine exquisite organic loose leaf teas. Each tea is selected for its unique flavor profile and natural qualities, offering a journey through the world of tea. The selection box is beautifully packaged, making it an ideal gift for tea enthusiasts or a delightful treat for yourself.</p>
<p>Inside the Leaf Tea Selection Box, you'll discover nine distinct organic leaf teas that span a range of tea types and flavor experiences:</p>

<ul>
<li><strong>Classic Earl Grey</strong>: A robust black tea with the signature fragrance of bergamot, offering a perfect balance of citrus and bold tea flavor.</li>
<li><strong>Jasmine Green Tea</strong>: A light and fragrant green tea infused with jasmine blossoms, providing a delicate floral aroma and a smooth finish.</li>
<li><strong>Oolong Harmony</strong>: A semi-oxidized tea with a nuanced flavor profile, combining floral notes with a hint of sweetness and a silky texture.</li>
<li><strong>White Peony</strong>: A gentle white tea with subtle floral undertones and a delicate sweetness, perfect for those who prefer a light and refreshing brew.</li>
<li><strong>Spiced Masala Chai</strong>: A rich black tea blended with aromatic spices like cinnamon, cardamom, and cloves, delivering a warming and invigorating taste.</li>
<li><strong>Chamomile Lavender Herbal Tea</strong>: A soothing herbal infusion featuring calming chamomile and aromatic lavender, ideal for relaxation and stress relief.</li>
<li><strong>Peppermint Refresh</strong>: A vibrant herbal tea made from pure peppermint leaves, providing a cool and invigorating flavor that's perfect for a refreshing break.</li>
<li><strong>Golden Assam</strong>: A bold and malty black tea from Assam, India, offering a rich and full-bodied flavor that's perfect for a morning pick-me-up.</li>
<li><strong>Rooibos Delight</strong>: A naturally caffeine-free herbal tea from South Africa, with a rich, earthy flavor and a hint of sweetness.</li>
</ul>

<p>The <strong>Leaf Tea Selection Box</strong> is designed with sustainability in mind, featuring eco-friendly packaging and resealable pouches to keep each tea fresh. This selection box is perfect for exploring different teas, discovering new favorites, or sharing with friends and family. Whether you're a seasoned tea aficionado or new to the world of loose leaf teas, this collection offers something for everyone.</p>",leaf_tea_selection_box.jpg,"Bamboo box with nine inner compartment, each containing a different loose leaf tea.",bi bi-gift,550,,,,59.99,,3.9
6,24,seit483208,serenitea_time_to_relax_box,SereniTea 'Time to Relax' Box,"<p>Discover a moment of serenity with the <strong>Time to Relax</strong> Gift Box, a carefully curated set of two premium leaf teas designed to help you unwind and de-stress. This gift box is the perfect way to add a touch of tranquility to your daily routine, offering you a calming escape through the soothing ritual of tea.</p>

<p>Inside the <strong>Time to Relax</strong> Gift Box, you'll find two carefully selected leaf teas that are known for their calming effects and harmonious flavors:</p>

<ul>
<li><strong>Chamomile Calm</strong>: A classic herbal tea made with whole chamomile flowers, renowned for their relaxing properties. This tea has a gentle floral aroma and a smooth, mellow taste, making it ideal for winding down in the evening or whenever you need a break from the hustle and bustle.</li>
<li><strong>Lavender Mint</strong>: A refreshing herbal blend that combines the soothing aroma of lavender with the invigorating freshness of peppermint. The result is a calming yet revitalizing tea that's perfect for sipping in the afternoon or whenever you need a moment of clarity and relaxation.</li>
</ul>
<p>The <strong>Time to Relax</strong> Gift Box is beautifully presented, making it a wonderful gift for someone special or a delightful treat for yourself. The packaging features calming colors and designs that reflect the peaceful nature of the teas inside. Each packet contains high-quality, loose leaf tea, stored in resealable pouches to ensure maximum freshness and flavor.</p>

<p>Whether you're seeking a way to unwind after a long day or a thoughtful gift for someone who needs a little relaxation, the <strong>Time to Relax</strong> Gift Box is a soothing and comforting choice. Embrace the calming power of tea and find your own moment of peace with this carefully crafted gift box.</p>",serenitea_time_to_relax_box.jpg,"Recycled cardboard box containing two packets of loose leaf tea on a bed of loose leaf tea, shown on a cork table setting with green plant.",bi bi-gift,150,,,,35.99,,4
7,24,seit844590,serenitea_meditation_retreat_box,SereniTea 'Meditation Retreat' Box,"<p>The <strong>Meditation Retreat</strong> Gift Box is a curated set of three organic leaf teas designed to bring peace and mindfulness into your tea ritual. This elegantly presented gift box features a selection of premium organic teas that are perfect for quiet moments of reflection, meditation, or simple relaxation. Each tea is crafted from high-quality organic ingredients, ensuring a pure and wholesome experience.</p>

<p>Inside the <strong>Meditation Retreat</strong> Gift Box, you'll find three distinct organic leaf teas that complement a meditative state of mind:</p>
<ul>
<li><strong>Tranquil Green Tea</strong>: A gentle and soothing green tea with delicate grassy notes and a hint of sweetness. This tea is known for its calming properties, making it an ideal choice for meditation sessions or moments of mindfulness.</li>

<li><strong>Zen Herbal Infusion</strong>: A caffeine-free herbal blend featuring calming herbs like chamomile, lavender, and lemon balm. This tea is perfect for winding down and achieving a sense of inner peace, whether enjoyed in the morning or before bedtime.</li>

<li><strong>Oolong Serenity</strong>: A smooth and balanced oolong tea with a slightly floral aroma and a silky finish. Its semi-oxidized leaves offer a complex flavor profile that encourages you to slow down and savor each sip.</li>
</ul>

<p>The <strong>Meditation Retreat</strong> Gift Box is beautifully packaged with eco-friendly materials, reflecting its organic and sustainable focus. Each tea is stored in resealable pouches to maintain its freshness and aroma, ensuring that each brewing experience is as delightful as the first.</p>

<p>This gift box is an ideal present for those seeking a moment of calm in their busy lives. Whether for yourself or a loved one, the <strong>Meditation Retreat</strong> Gift Box provides the perfect assortment of organic leaf teas to help you find your inner calm and create a personal sanctuary of peace and relaxation.</p>",serenitea_meditation_retreat_box.jpg,"Bamboo box with three inner compartment, each containing a different loose leaf tea. Shown alongside a wooden tea scoop.",bi bi-gift,200,,,,41.99,,3.2
8,24,seit709276,serenitea_be_kind_to_yourself_box,SereniTea 'Be Kind To Yourself' Box,"<p>Introducing the <strong>Be Kind To Yourself</strong> Gift Box, a thoughtfully curated collection of organic leaf teas designed to bring comfort, relaxation, and self-care into your daily routine. This gift box is more than just a selection of teas—it's a reminder to take time for yourself, unwind, and embrace the simple pleasures that a good cup of tea can offer. </p>

<p>The <strong>Be Kind To Yourself</strong> Gift Box contains a variety of premium organic teas, each chosen for its calming properties and soothing flavors:</p>
<ul>
<li><strong>Tranquil Chamomile</strong>: A calming herbal tea made with organic chamomile flowers, perfect for relaxing and unwinding after a long day. Its gentle floral notes and natural sweetness create a soothing experience.</li>

<li><strong>Lavender Earl Grey</strong>: A classic black tea with a twist, infused with the calming aroma of lavender and the citrusy essence of bergamot. This blend is ideal for a comforting cup of tea in the afternoon or evening.</li>

<li><strong>Peppermint Breeze</strong>: A refreshing and invigorating herbal tea made from organic peppermint leaves. Its crisp, minty flavor is perfect for a midday pick-me-up or to settle your stomach after a meal.</li>

<li><strong>Green Serenity</strong>: A light and refreshing green tea with a smooth finish and a hint of sweetness. This tea offers a moment of tranquility and is a great companion for your mindfulness or meditation practice.</li>
</ul>
<p>The <strong>Be Kind To Yourself</strong> Gift Box is beautifully packaged with a focus on eco-friendly materials, reflecting the organic and sustainable nature of its contents. Each tea is stored in resealable pouches to ensure freshness, allowing you to enjoy these comforting blends over time.</p>

<p>This gift box is an ideal present for anyone who needs a little extra care and relaxation in their lives. It's perfect for birthdays, self-care days, or just to say, <em>Take some time for yourself</em>. Whether you keep it for yourself or give it to someone special, the <strong>Be Kind To Yourself</strong> Gift Box is a thoughtful and meaningful way to promote relaxation and self-kindness through the art of tea.</p>",serenitea_be_kind_to_yourself_box.jpg,"Recycled cardboard box containing four packets of tea, shown on a table with two wooden tea scoops, dried tea leaves and a white ceramic teacup.",bi bi-gift,250,,,,29.99,,4.3
9,24,seit816773,serenitea_the_natural_world_box,SereniTea 'The Natural World' Box,"<p><strong>The Natural World</strong> Gift Box is a carefully curated collection of organic loose leaf teas that brings the essence of nature into your home. This beautifully packaged gift box contains a selection of premium organic teas, each crafted from the finest natural ingredients and grown without the use of synthetic pesticides or chemicals.</p>

<p>Inside <strong>The Natural World</strong> Gift Box, you'll find a harmonious assortment of organic teas that span a variety of flavors and profiles. From the calming notes of a soothing herbal infusion to the robust character of a classic black tea, each blend is designed to capture the purity and freshness of the natural world.</p>

<p>The box itself features a sustainable design, with eco-friendly packaging that reflects the organic and environmentally conscious theme. Each tea is stored in a resealable pouch to maintain its freshness and aroma, ensuring a delightful tea experience every time.</p>

<p><strong>The Natural World</strong> Gift Box is an ideal gift for tea lovers who value quality and sustainability. It offers a diverse selection of organic loose leaf teas, allowing the recipient to explore and enjoy a range of tea experiences. Whether you're gifting it for a special occasion or treating yourself, this gift box is a perfect way to celebrate the beauty and bounty of the natural world through the art of tea.</p>",serenitea_the_natural_world_box.jpg,"Bamboo box containing 8 compartments, each containing a different leaf tea. Serves on a rattan table cloth.",bi bi-gift,500,,,,45.99,,3.5
10,10,eagr714916,earl_grey_elegance,Earl Grey Elegance,"<p>Indulge in the sophisticated blend of black tea infused with aromatic bergamot oil, delivering a fragrant and citrusy experience with every sip. Perfect for those seeking a refined tea with a touch of European charm.</p>",earl_grey_elegance.jpg,Close-up of loose leaf tea in a wicker basket with metal serving bowl.,bi bi-cup-hot,100,4,3-4,100,7.99,,4.3
